Dataset,Algorithm,AMD,AOS,ASM,ADM,R^2
banknote,LIME,0.18879623840693557,459.5,0.40908307553947937,0.5835445827337045,0.6575292415699346
banknote,CALIME,0.08523666334501341,236.0,0.3464382987195062,0.4121805768650968,0.6608178933485912
banknote,FASTER,0.10929528233445356,428.5,0.3360676137556733,0.3371816630426586,0.6433053770816217
banknote,DLIME,0.1939228236936956,672.0,0.36045247665671603,0.5022660241410241144,0.608218757840059543
wine_red,LIME,0.23383441228782642,459.0,0.5178185900277521,0.6755996644321541,0.48886939167655565
wine_red,CALIME,0.09190591460491392,380.5,0.2871717358156905,0.52439247925535517,0.683770816217993
wine_red,FASTER,0.2129352749364734,5000.0,0.1064784613311055,0.51025137666895603,0.6253507198758279
wine_red,DLIME,0.2069369213164707,293.0,0.17294690809943844,0.503102533291919084,0.61074635124676715
wdbc,LIME,0.3398334610497846,453.0,0.4609764930712658,0.5168235522133231,0.6495430633743065
wdbc,CALIME,0.2979495456597639,400.0,0.25092441763304685,0.24449175569320597,0.71609482356264145
wdbc,FASTER,0.3376242178410203,440.0,0.38047447525669583,0.24810293811445732,0.7449514867270712
wdbc,DLIME,0.393310548856032,490.0,0.5215154790622304,0.25112384544056233,0.705092459990012288
statslog,LIME,0.6083627678508711,794.0,0.35348793924416255,0.48969143777576135,0.39769059717686484
statslog,CALIME,0.4876055171336267,349.0,0.2651212497810173,0.4177203229862531,0.45315547457291205
statslog,FASTER,0.5534293348967221,441.0,0.21578125561819358,0.3755274336267,0.4659809469297785
statslog,DLIME,0.610925158016315,597.0,0.28032480657429747,0.478345635612341,0.413475555421300967
